scope,bracket,n_break,break_rate,trade_net,trade_win,tp_hit,sl_hit,trade_sharpe,trade_maxdd,port_eq_net,port_eq_sharpe,port_eq_maxdd,port_pw_sharpe,port_pw_maxdd
regime=bear_trend,TP2/2x-range,7859,81.67740594471005,0.1472587878792339,74.72960936505916,73.88980786359588,21.325868431098105,-0.7980207513543731,-91.22376630840492,0.12027715796538144,-0.34200667658247635,-66.9345885696263,-0.3357464921943882,-66.3958709305125
regime=bear_trend,TP3/SL-2%,7859,81.67740594471005,0.05357202190381588,48.30131059931289,46.60898333121262,50.0445349281079,-0.9755334027434083,-90.69018327421243,0.04375623780316861,-0.564331884502513,-72.55567086796316,-0.5636593174349446,-72.52821964425542
regime=bear_trend,TP3/SL-3%,7859,81.67740594471005,0.17683525069891448,58.442549942740804,56.07583662043517,38.00738007380074,-0.721836693605847,-90.94194949839162,0.144434445566698,-0.2742306081839534,-68.37173491157529,-0.27449394177411685,-68.28737654391861
regime=bear_trend,TP3/ORB-low,7859,81.67740594471005,0.20037442895050284,57.90813080544599,56.304873393561515,40.24685074436951,-0.934600700823327,-93.44392098556955,0.16366063574329676,-0.4711988375524473,-72.8866724925177,-0.4711962386239777,-72.79437731904788
regime=bear_trend,TP3/2x-range,7859,81.67740594471005,0.35381356045811296,67.47677821605802,64.89375238579971,25.970225219493575,-0.4595765458782668,-88.11780917627927,0.288985738062805,0.027488372656887566,-56.87036388193354,0.028842255120241463,-56.57837724296626
regime=bull_trend,TP2/SL-2%,24313,75.27011547630104,-0.17675307872044796,55.274955784971006,50.725949080738694,42.220211409533995,-2.172139796400851,-94.4312062301367,-0.13304224646079854,-1.8335722719724858,-80.81244276061183,-1.8272499439968661,-80.5050385823011
regime=bull_trend,TP2/SL-3%,24313,75.27011547630104,-0.09451391959850164,64.82128902233373,59.73347591823305,30.732529922263808,-1.4763748512459214,-92.85320769946097,-0.07114073642297054,-1.0691574119568386,-73.86793917574347,-1.0737059823071693,-73.77650089271029
regime=bull_trend,TP2/ORB-low,24313,75.27011547630104,-0.12601019010054118,59.527824620573355,56.08933492370337,38.74059145313207,-2.0659779113792607,-96.15625721681432,-0.09484801560058383,-1.7298153038903143,-85.10926686733148,-1.7070962047432476,-84.94892638443578
regime=bull_trend,TP2/2x-range,24313,75.27011547630104,-0.024811161500258472,68.58470776950602,64.25369144079299,25.44729157240982,-1.3202998256478924,-92.90549318432633,-0.018675389912256087,-0.8460259708251645,-69.9644025033526,-0.8315325812060681,-69.29839232636479
regime=bull_trend,TP3/SL-2%,24313,75.27011547630104,-0.0798244419027721,47.768683420392385,40.58734010611607,48.97791305063135,-1.0881343765524598,-85.2038392615769,-0.06008394959852945,-0.6600019271941082,-56.72280710891169,-0.6516641709257589,-56.069019636933646
regime=bull_trend,TP3/SL-3%,24313,75.27011547630104,0.02079696952885346,57.21630403487846,48.66121005223543,36.58125282770534,-0.6591264419863802,-80.92767172866672,0.01565390297993909,-0.15690518401737,-36.460443505970375,-0.15836764775560055,-36.520073780709005
regime=bull_trend,TP3/ORB-low,24313,75.27011547630104,-0.00811664833295922,52.325916176531074,46.52243655657467,44.786739604326904,-1.0984254604069776,-89.31082176824128,-0.006109410573023684,-0.694967460731221,-64.87590387867533,-0.6865207508472931,-64.56274033540421
regime=bull_trend,TP3/2x-range,24313,75.27011547630104,0.10603671051762864,61.349895117838194,53.465224365565746,29.737177641590918,-0.5551218783107472,-79.58092264057724,0.07981395445389007,-0.026040463453587313,-41.73114857607543,-0.015291953697403349,-42.40372331275234
"bucket=[0.65,0.70)",TP2/SL-2%,26563,77.553940030948,-0.16636721021974377,55.054022512517406,51.61314610548507,42.48767082031397,-2.37299272907912,-95.5909543259785,-0.12902432644498132,-1.8779003415793896,-82.53462149145851,-1.8781753186951022,-82.52549338493051
"bucket=[0.65,0.70)",TP2/SL-3%,26563,77.553940030948,-0.07758227634186216,64.77807476565147,60.83273726612205,30.783420547377933,-1.539554581405528,-93.2816543142095,-0.06016811206881215,-1.0123739903272675,-73.01101492166649,-1.0147128348645758,-73.06669074851078
"bucket=[0.65,0.70)",TP2/ORB-low,26563,77.553940030948,-0.12000050226988401,59.289236908481726,56.78951925610812,39.1070285735798,-2.1843966595254884,-96.62767683210886,-0.09306511756722227,-1.7259712454467846,-85.03402587371394,-1.7271679482491074,-85.07847160198887
"bucket=[0.65,0.70)",TP2/2x-range,26563,77.553940030948,-0.014876794131669868,68.65941346986409,65.2975943982231,25.652223016978503,-1.3090113186424104,-93.0025703015764,-0.011537539999402845,-0.7531721075826925,-68.13601166952672,-0.7533924940487136,-68.16852855189543
"bucket=[0.65,0.70)",TP3/SL-2%,26563,77.553940030948,-0.06913233999626262,47.32899145427851,41.35451567970485,49.42965779467681,-1.3385374707368993,-89.8190544074573,-0.053614853502692655,-0.712231071222323,-61.20831521756494,-0.7116733254061574,-61.14333114586348
"bucket=[0.65,0.70)",TP3/SL-3%,26563,77.553940030948,0.03521170514705507,56.90998757670444,49.61412491058992,36.87836464254791,-0.7813525947334944,-85.104484867982,0.027308064693621303,-0.11508800830987839,-38.09331355354081,-0.11720494956423713,-38.25537768988042
"bucket=[0.65,0.70)",TP3/ORB-low,26563,77.553940030948,-0.006489098855071762,51.85408274667771,47.099348718141776,45.45420321499831,-1.231343340417997,-92.07170522173861,-0.005032551834611332,-0.6409180636087126,-65.48536287212221,-0.6434477466665376,-65.60590866789153
"bucket=[0.65,0.70)",TP3/2x-range,26563,77.553940030948,0.11912765509974055,61.31837518352595,54.56838459511351,30.173549674359073,-0.5772420662885054,-82.84709314045438,0.09238819019632735,0.0796552069565673,-34.49090145404893,0.07847783680952794,-34.68621831327721
"bucket=[0.70,0.75)",TP2/SL-2%,4897,79.8076923076923,-0.1209107210411843,57.13702266693894,53.338778844190315,42.04615070451297,-1.3687519934945542,-92.19711230602614,-0.0964960562155606,-1.0318151331239385,-81.13419254572693,-1.028631430260222,-81.03486451164376
"bucket=[0.70,0.75)",TP2/SL-3%,4897,79.8076923076923,-0.03660334656611597,67.00020420665713,62.95691239534409,31.366142536246684,-1.2001830423491437,-94.02449385883033,-0.029212286201804112,-0.875943684879564,-83.3026561610832,-0.8740872238980172,-83.22195919622801
"bucket=[0.70,0.75)",TP2/ORB-low,4897,79.8076923076923,0.047397316591657135,68.24586481519297,64.9172963038595,30.549315907698592,-1.0194419227507687,-93.38892098905835,0.037826704587572514,-0.7015225886088169,-80.47505613092592,-0.6993758214602225,-80.36215250424449
"bucket=[0.70,0.75)",TP2/2x-range,4897,79.8076923076923,0.14381519270944848,76.06697978354094,72.55462528078415,19.399632428017153,-0.7674377462766605,-92.64907229220796,0.11477558648927139,-0.4454273496464492,-75.04229253707348,-0.4433483415526743,-74.87463572591635
"bucket=[0.70,0.75)",TP3/SL-2%,4897,79.8076923076923,0.029364948605293928,49.76516234429242,45.0275678987135,49.07085971002655,-0.7012807184104672,-82.1642577805943,0.02343548782922493,-0.402105505426008,-58.22751355804752,-0.3986026678550035,-57.95580869598229
"bucket=[0.70,0.75)",TP3/SL-3%,4897,79.8076923076923,0.14186694633117058,59.62834388401062,54.176026138452116,37.73739023892178,-0.6668771001632634,-87.54734149149874,0.11322073601429955,-0.3609577086433017,-65.02554426026619,-0.35811614849916573,-64.78423135875452
